date,TemP,pH,Turb,Chl,DO
2021/1/1 0:00,28.95,7.895,1.65,6.05,6.09
2021/1/1 1:00,29.05,7.835,1.3,5.3,5.765
2021/1/1 2:00,29.005,7.795,0.9,4.25,5.74
2021/1/1 3:00,29.02,7.795,0.5,3.85,5.76
2021/1/1 4:00,29.055,7.78,0.05,4.15,5.855
2021/1/1 5:00,29.02,7.775,-0.1,5.15,5.925
2021/1/1 6:00,29.115,7.78,0.8,8.8,5.88
2021/1/1 7:00,29.13,7.805,1.15,8.4,5.98
2021/1/1 8:00,29.17,7.855,1.35,13.65,6.17
2021/1/1 9:00,29.15,7.91,1.65,11.35,6.495
2021/1/1 10:00,29.35,7.875,1.7,5.8,6.01
2021/1/1 11:00,29.78,8.02,0.9,9.55,7.095
2021/1/1 12:00,29.87,7.995,1.35,9.05,6.775
2021/1/1 13:00,29.81,7.975,1.8,10.15,6.775
2021/1/1 14:00,30.015,7.95,1.35,10.1,6.66
2021/1/1 15:00,30.245,7.96,1.1,10.9,6.86
2021/1/1 16:00,30.31,7.98,2.8,10.5,7.11
2021/1/1 17:00,30.37,8.025,1.05,11.4,7.48
2021/1/1 18:00,30.285,8.03,0.75,9.5,7.555
2021/1/1 19:00,30.02,7.97,2.45,11.85,7.22
2021/1/1 20:00,29.91,7.95,3.05,13.15,6.93
2021/1/1 21:00,29.79,7.965,2.25,11.3,6.83
2021/1/1 22:00,29.545,7.97,1.6,8.65,6.665
2021/1/1 23:00,29.49,7.96,1.15,8,6.585
2021/1/2 0:00,29.315,7.975,0.6,8.25,6.55
2021/1/2 1:00,29.355,7.925,1.35,6.9,6.215
2021/1/2 2:00,29.405,7.89,0.95,5.75,6.04
2021/1/2 3:00,29.385,7.865,1.2,4.5,6
2021/1/2 4:00,29.38,7.885,0.65,4.45,6.1
2021/1/2 5:00,29.265,7.87,3.8,5,6.215
2021/1/2 6:00,29.025,7.905,1.6,6.9,6.445
2021/1/2 7:00,29.265,7.865,2.15,9.9,6.385
2021/1/2 8:00,29.33,7.92,2.55,14.65,6.795
2021/1/2 9:00,29.4,7.985,2.9,15.25,7.115
2021/1/2 10:00,29.51,7.97,2.05,7.8,6.65
2021/1/2 11:00,29.59,7.975,2,8.25,6.61
2021/1/2 12:00,29.745,8.085,1.65,13.85,7.47
2021/1/2 13:00,29.735,8.065,2.1,12.95,7.19
2021/1/2 14:00,29.725,8.045,2.1,13.25,7.14
2021/1/2 15:00,29.78,8,1.7,11,6.89
2021/1/2 16:00,29.865,7.995,2.05,10.15,6.89
2021/1/2 17:00,29.875,8.005,1.3,9.2,6.935
2021/1/2 18:00,29.835,8.005,0.95,6.5,6.97
2021/1/2 19:00,29.72,7.995,0.7,6.9,6.93
2021/1/2 20:00,29.515,7.935,2.35,8.4,6.745
2021/1/2 21:00,29.52,7.95,2.2,12.35,6.71
2021/1/2 22:00,29.455,7.96,2.25,9.45,6.625
2021/1/2 23:00,29.435,7.955,2,7.95,6.49
2021/1/3 0:00,29.31,7.98,1,8.1,6.545
2021/1/3 1:00,29.255,7.97,1.1,7.15,6.385
2021/1/3 2:00,29.3,7.925,1.65,6.45,6.14
2021/1/3 3:00,29.315,7.9,1.25,5.05,5.97
2021/1/3 4:00,29.22,7.875,0.8,3.45,5.95
2021/1/3 5:00,29.15,7.86,0.6,3.8,5.955
2021/1/3 6:00,29.02,7.865,0.6,4.7,6.005
2021/1/3 7:00,29.105,7.905,0.9,8.35,6.195
2021/1/3 8:00,29.285,7.88,1.15,5.35,6.045
2021/1/3 9:00,29.345,7.915,0.95,7.65,6.17
2021/1/3 10:00,29.455,7.96,1.85,8.4,6.395
2021/1/3 11:00,29.285,7.975,2.55,7.35,6.41
2021/1/3 12:00,29.34,8.015,2.2,10.2,6.575
2021/1/3 13:00,29.46,8.115,1.55,14.35,7.455
2021/1/3 14:00,29.56,8.105,1.75,12.9,7.35
2021/1/3 15:00,29.63,8.04,1.1,8.15,6.92
2021/1/3 16:00,29.62,8.015,1.4,7.2,6.745
2021/1/3 17:00,29.57,8.01,3.05,6.85,6.725
2021/1/3 18:00,29.45,8.02,2.4,6.55,6.82
2021/1/3 19:00,29.29,8.02,2.05,7,6.815
2021/1/3 20:00,29.165,8.015,1.2,6.6,6.71
2021/1/3 21:00,29.135,7.995,2.8,6.2,6.605
2021/1/3 22:00,29.265,7.995,3.05,7,6.59
2021/1/3 23:00,29.15,8.02,2.15,8,6.725
2021/1/4 0:00,29.06,8.035,1.75,8.5,6.685
2021/1/4 1:00,28.98,8.05,1.15,10.15,6.755
2021/1/4 2:00,28.865,8.02,1.45,7.35,6.475
2021/1/4 3:00,28.845,7.98,1.35,5.9,6.215
2021/1/4 4:00,28.78,7.945,0.9,3.95,6.045
2021/1/4 5:00,28.545,7.92,0.75,3.75,6.02
2021/1/4 6:00,28.415,7.905,0.45,4.3,5.99
2021/1/4 7:00,28.365,7.895,0,7.3,6.015
2021/1/4 8:00,28.665,7.955,0.15,7.05,6.275
2021/1/4 9:00,28.92,7.94,0.9,5.4,6.245
2021/1/4 10:00,29.09,8.005,0.75,6.7,6.62
2021/1/4 11:00,29.215,8.085,2.25,9.4,7.075
2021/1/4 12:00,29.35,8.16,2.1,11.7,7.605
2021/1/4 13:00,29.435,8.21,2.15,14.3,8.065
2021/1/4 14:00,29.505,8.285,2.3,16.45,8.65
2021/1/4 15:00,29.48,8.195,2.25,10.95,7.805
2021/1/4 16:00,29.455,8.145,2.25,10.1,7.44
2021/1/4 17:00,29.415,8.095,2.8,7.95,7.105
2021/1/4 18:00,29.315,8.075,3.2,7.25,6.95
2021/1/4 19:00,29.18,8.075,2.5,7.65,7.025
2021/1/4 20:00,29.005,8.065,2.15,8.45,6.98
2021/1/4 21:00,28.715,8.07,2.95,8.2,6.965
2021/1/4 22:00,28.77,8.05,2,7.8,6.895
2021/1/4 23:00,28.89,8.035,2.2,6.65,6.765
2021/1/5 0:00,28.795,8.075,2.25,8.25,6.83
2021/1/5 1:00,28.7,8.07,1.8,7.8,6.79
2021/1/5 2:00,28.7,8.085,1.15,7.35,6.815
2021/1/5 3:00,28.595,8.095,1.8,8.25,6.69
2021/1/5 4:00,28.645,8.045,1.5,5.85,6.37
2021/1/5 5:00,28.56,8.015,1.1,4.65,6.285
2021/1/5 6:00,28.365,7.99,0.85,4.5,6.185
2021/1/5 7:00,28.335,7.965,0.85,5.8,6.165
2021/1/5 8:00,28.4,7.98,0.65,6.9,6.395
2021/1/5 9:00,28.72,8.01,0.15,6.05,6.595
2021/1/5 10:00,28.84,8.04,0.65,7,6.795
2021/1/5 11:00,29.005,8.08,1.15,8.15,7.01
2021/1/5 12:00,29.09,8.16,2.35,9.95,7.44
2021/1/5 13:00,29.34,8.205,2.25,10.5,7.75
2021/1/5 14:00,29.225,8.255,2.05,12.6,8.205
2021/1/5 15:00,29.275,8.305,1.9,13.7,8.465
2021/1/5 16:00,29.15,8.245,3,11.45,7.935
2021/1/5 17:00,29.045,8.185,2.65,9.4,7.395
2021/1/5 18:00,29.005,8.13,3.05,8.05,7.085
2021/1/5 19:00,28.93,8.135,1.75,8.8,7.15
2021/1/5 20:00,28.79,8.105,1.45,7.25,7
2021/1/5 21:00,28.645,8.08,0.65,6.5,6.865
2021/1/5 22:00,28.57,8.08,0.3,6.3,6.815
2021/1/5 23:00,28.565,8.08,1.6,6.85,6.83
2021/1/6 0:00,28.545,8.085,1.75,7,6.82
2021/1/6 1:00,28.5,8.105,1.6,7.7,6.84
2021/1/6 2:00,28.5,8.11,1.8,7.45,6.71
2021/1/6 3:00,28.44,8.11,1.05,6.95,6.685
2021/1/6 4:00,28.31,8.115,0.85,7.45,6.57
2021/1/6 5:00,28.315,8.085,1.95,6.15,6.415
